A	Coef	t	p.value	p.value.adj	F	F.p.value	trtTpo-trtTdu
4.77	0.194	1.96	0.0796	0.124306	3.84	0.0796	0
2.32	0.146	0.69	0.5053	0.586167	0.48	0.5053	0
5.6	-0.617	-7.61	2e-05	0.00015	57.93	2e-05	-1
5.49	-0.33	-3.98	0.00277	0.007333	15.84	0.00277	-1
4.58	-0.729	-7.58	2e-05	0.000154	57.42	2e-05	-1
4.47	0.349	2.43	0.03635	0.063727	5.89	0.03635	0
9.41	0.117	1.44	0.18046	0.248906	2.08	0.18046	0
7.42	0.39	4.82	0.00077	0.002511	23.23	0.00077	1
6.78	-0.515	-5.53	0.00028	0.001118	30.57	0.00028	-1
2.31	2.003	11.89	0	9e-06	141.28	0	1
5.43	0.126	1.2	0.26034	0.33808	1.43	0.26034	0
5.92	-0.556	-6.95	5e-05	0.000269	48.32	5e-05	-1
6.93	-0.553	-5.81	0.00019	0.000833	33.7	0.00019	-1
5.97	0.048	0.57	0.58377	0.656647	0.32	0.58377	0
0.81	1.014	4.33	0.0016	0.004627	18.76	0.0016	1
7.42	-0.805	-11.48	0	1.1e-05	131.81	0	-1
0.6	0.57	2.16	0.05702	0.093605	4.66	0.05702	0
7.68	-0.19	-2.43	0.03608	0.063346	5.91	0.03608	0
2.83	0.237	1.64	0.13221	0.191787	2.7	0.13221	0
0.57	1.075	2.92	0.01594	0.031696	8.5	0.01594	1
4.68	0.068	0.61	0.55762	0.633167	0.37	0.55762	0
4.42	-0.14	-1.37	0.20236	0.273459	1.87	0.20236	0
11.63	-0.548	-5.88	0.00018	0.000774	34.54	0.00018	-1
4.85	0.326	3.49	0.00611	0.014168	12.18	0.00611	1
4.29	-0.077	-0.72	0.48842	0.569499	0.52	0.48842	0
5.65	1.345	14.61	0	3e-06	213.34	0	1
1.98	-3.797	-13.57	0	4e-06	184.2	0	-1
1.01	-0.06	-0.28	0.7837	0.829129	0.08	0.7837	0
5.11	0.129	1.27	0.23318	0.308584	1.62	0.23318	0
2.9	0.61	3.6	0.0051	0.012149	12.96	0.0051	1
5.5	0.126	1.51	0.16397	0.229666	2.27	0.16397	0
5.29	0.86	10.66	0	1.8e-05	113.6	0	1
7.64	0.762	10.01	0	2.6e-05	100.21	0	1
1.84	0.354	1.62	0.13714	0.197895	2.63	0.13714	0
5.95	1.57	8.28	1e-05	8.8e-05	68.57	1e-05	1
0.47	1.903	5.38	0.00034	0.001301	28.99	0.00034	1
2.88	-0.579	-3.92	0.00305	0.007928	15.37	0.00305	-1
5.76	-0.039	-0.43	0.67869	0.740104	0.18	0.67869	0
3.08	-0.737	-5.6	0.00026	0.001037	31.38	0.00026	-1
4.12	0.321	2.17	0.05645	0.092859	4.69	0.05645	0
6.04	-0.243	-3.06	0.01246	0.025739	9.37	0.01246	-1
1.31	1.596	7.11	4e-05	0.000232	50.53	4e-05	1
5.72	-0.47	-5.19	0.00045	0.001624	26.94	0.00045	-1
1.71	-0.377	-2.1	0.06321	0.102397	4.4	0.06321	0
1.36	-0.777	-3.52	0.00586	0.013679	12.36	0.00586	-1
4.81	0.947	9.48	0	3.7e-05	89.8	0	1
1.15	0.821	2.11	0.06166	0.10036	4.46	0.06166	0
5.81	5.429	15.9	0	2e-06	252.74	0	1
3.89	-0.391	-3.61	0.00504	0.012034	13.01	0.00504	-1
0.08	1.195	3.93	0.00301	0.007852	15.43	0.00301	1
3.1	-0.762	-4.95	0.00064	0.002158	24.49	0.00064	-1
4.69	-0.174	-1.63	0.13446	0.194693	2.67	0.13446	0
7.47	-0.721	-9.93	0	2.8e-05	98.61	0	-1
6.78	0.495	2.49	0.03249	0.058071	6.22	0.03249	0
7	-0.133	-1.89	0.08968	0.137471	3.56	0.08968	0
0.35	0.056	0.21	0.83678	0.873429	0.04	0.83678	0
4.98	-0.344	-3.3	0.00835	0.018403	10.9	0.00835	-1
3.12	-0.547	-3.13	0.0112	0.02357	9.77	0.0112	-1
4.45	0.041	0.39	0.7051	0.762737	0.15	0.7051	0
1.65	1.445	7.1	4e-05	0.000233	50.48	4e-05	1
6.65	-0.49	-6.77	6e-05	0.000318	45.82	6e-05	-1
5.2	0.397	3.42	0.00683	0.015525	11.72	0.00683	1
6.19	-0.32	-4.61	0.00105	0.003256	21.23	0.00105	-1
0.84	-0.24	-1.12	0.29127	0.372101	1.25	0.29127	0
2.28	0.233	1.22	0.25009	0.327109	1.5	0.25009	0
0.12	1.654	5.73	0.00022	0.000904	32.84	0.00022	1
1.22	-0.035	-0.07	0.94745	0.959946	0	0.94745	0
6.37	-0.202	-2.42	0.03652	0.063973	5.88	0.03652	0
3.69	0.698	5.57	0.00027	0.001072	31.01	0.00027	1
8.73	-0.046	-0.63	0.54128	0.618762	0.4	0.54128	0
6.46	-1.509	-20.4	0	0	416.16	0	-1
3.13	-0.088	-0.55	0.59647	0.667281	0.3	0.59647	0
5.53	-0.756	-8.19	1e-05	9.4e-05	67	1e-05	-1
6.17	-0.104	-1.13	0.28409	0.364662	1.29	0.28409	0
1.08	-0.001	0	0.99735	0.998005	0	0.99735	0
6.13	0.444	4.44	0.00136	0.004029	19.7	0.00136	1
-0.05	-0.547	-1.98	0.07708	0.120931	3.91	0.07708	0
2.98	-0.062	-0.44	0.67158	0.734003	0.19	0.67158	0
6.95	0.058	0.91	0.38707	0.471339	0.82	0.38707	0
4.6	0.263	2.7	0.02302	0.043388	7.28	0.02302	1
0.18	0.143	0.58	0.57512	0.648762	0.34	0.57512	0
5.23	0.844	7.3	3e-05	0.000195	53.28	3e-05	1
1.17	-0.221	-0.94	0.37244	0.456817	0.87	0.37244	0
4.21	0.079	0.76	0.46646	0.54951	0.57	0.46646	0
3.43	-0.454	-2.83	0.01852	0.035996	7.99	0.01852	-1
3.67	1.007	2.87	0.01715	0.033764	8.25	0.01715	1
10.67	0.211	2.05	0.06868	0.109802	4.19	0.06868	0
0.21	-0.292	-0.68	0.51301	0.592794	0.46	0.51301	0
1.48	-0.13	-0.57	0.57888	0.652041	0.33	0.57888	0
2.43	0.224	1.14	0.28014	0.360331	1.31	0.28014	0
5.49	-0.534	-6.55	8e-05	0.000392	42.86	8e-05	-1
2.96	1.05	6.89	5e-05	0.000286	47.42	5e-05	1
1	-1.184	-4.72	0.00089	0.002849	22.26	0.00089	-1
7.28	-0.207	-2.34	0.042	0.072019	5.48	0.042	0
3.19	0.546	3.65	0.00467	0.011274	13.36	0.00467	1
4.26	-1.536	-13.45	0	4e-06	180.92	0	-1
5.01	-0.261	-2.62	0.02633	0.048695	6.85	0.02633	-1
6.23	-1.239	-17.46	0	1e-06	304.84	0	-1
2	0.155	0.78	0.45527	0.539326	0.6	0.45527	0
-0.34	-0.612	-1.65	0.13072	0.189872	2.73	0.13072	0
6.58	0.324	3.93	0.00299	0.007802	15.47	0.00299	1
6.45	-1.177	-15.95	0	2e-06	254.26	0	-1
5.92	-0.62	-4.09	0.00233	0.006307	16.74	0.00233	-1
5.52	-0.01	-0.11	0.91617	0.934017	0.01	0.91617	0
2.28	-0.931	-3.2	0.00986	0.021124	10.25	0.00986	-1
5.1	-0.245	-3	0.01392	0.028275	8.97	0.01392	-1
6.92	-0.308	-4.56	0.00114	0.003475	20.77	0.00114	-1
1.96	-2.359	-10.97	0	1.5e-05	120.29	0	-1
5.28	0.053	0.48	0.64338	0.708841	0.23	0.64338	0
5.91	0.311	3.15	0.01078	0.022834	9.91	0.01078	1
1.02	-0.555	-2.1	0.06345	0.102707	4.39	0.06345	0
1.22	0.993	3.04	0.01301	0.026682	9.22	0.01301	1
0.56	-1.573	-5.36	0.00036	0.001342	28.69	0.00036	-1
0.54	0.338	1.28	0.23174	0.306983	1.63	0.23174	0
7.17	0.016	0.24	0.81766	0.857162	0.06	0.81766	0
8.5	-0.788	-10.09	0	2.5e-05	101.84	0	-1
1.24	-0.729	-3.84	0.00346	0.008793	14.75	0.00346	-1
4.87	-0.751	-6.66	7e-05	0.000354	44.32	7e-05	-1
0	0.586	2.17	0.05621	0.092546	4.7	0.05621	0
3.92	0.577	4.32	0.00163	0.004689	18.67	0.00163	1
0.33	0.531	1.68	0.12487	0.182713	2.82	0.12487	0
1.29	0.949	4.53	0.00119	0.003609	20.5	0.00119	1
6.03	-0.021	-0.29	0.77733	0.823776	0.08	0.77733	0
-0.13	0.553	1.91	0.08639	0.133019	3.64	0.08639	0
6.06	0.356	3.07	0.01226	0.02541	9.43	0.01226	1
1.88	1.151	5.69	0.00023	0.000939	32.41	0.00023	1
1.7	-1.384	-4.66	0.00097	0.003038	21.75	0.00097	-1
1.29	-0.451	-1.95	0.08078	0.125896	3.8	0.08078	0
0.47	-0.944	-3.89	0.0032	0.008253	15.13	0.0032	-1
0.81	-0.071	-0.26	0.80028	0.842805	0.07	0.80028	0
7.27	-0.226	-3.25	0.00907	0.019739	10.57	0.00907	-1
5.75	-0.05	-0.65	0.52841	0.6073	0.43	0.52841	0
6.66	-1.922	-19.14	0	1e-06	366.47	0	-1
1.36	-0.047	-0.18	0.85729	0.889533	0.03	0.85729	0
1.56	-1.215	-4.72	9e-04	0.002859	22.23	9e-04	-1
5.19	-0.52	-3.23	0.00935	0.020216	10.45	0.00935	-1
1.97	0.984	5.6	0.00026	0.001037	31.38	0.00026	1
6.65	1.517	15.13	0	2e-06	228.89	0	1
5.41	0.328	3.34	0.00783	0.017477	11.16	0.00783	1
5.7	-1.042	-11.63	0	1e-05	135.33	0	-1
5.8	0.7	3.24	0.00924	0.020012	10.5	0.00924	1
8.22	-0.317	-3.35	0.00771	0.017276	11.21	0.00771	-1
1.97	-0.685	-3.32	0.00811	0.017962	11.01	0.00811	-1
8.33	-0.694	-8.06	1e-05	0.000104	64.96	1e-05	-1
2.91	-0.726	-4.82	0.00077	0.002503	23.25	0.00077	-1
0.13	-0.497	-1.13	0.28692	0.367588	1.27	0.28692	0
1.23	1.532	5.64	0.00024	0.001001	31.76	0.00024	1
5.89	-0.495	-5.37	0.00035	0.001324	28.82	0.00035	-1
8.31	-0.138	-2.04	0.06947	0.110839	4.17	0.06947	0
-0.02	0.361	1.12	0.29134	0.372101	1.25	0.29134	0
0.24	-0.893	-3.08	0.01206	0.025048	9.49	0.01206	-1
6.45	0.058	0.77	0.45787	0.54144	0.6	0.45787	0
1.69	0.514	2.69	0.02347	0.044062	7.21	0.02347	1
5.14	-0.602	-5.93	0.00017	0.000733	35.17	0.00017	-1
6.28	-0.359	-4.34	0.00158	0.004577	18.83	0.00158	-1
